,2023-06-30
FreeCashFlow,59475000000.0
RepurchaseOfCapitalStock,-22245000000.0
RepaymentOfDebt,-2750000000.0
IssuanceOfDebt,0.0
IssuanceOfCapitalStock,1866000000.0
CapitalExpenditure,-28107000000.0
EndCashPosition,34704000000.0
BeginningCashPosition,13931000000.0
EffectOfExchangeRateChanges,-194000000.0
ChangesInCash,20967000000.0
FinancingCashFlow,-43935000000.0
CashFlowFromContinuingFinancingActivities,-43935000000.0
NetOtherFinancingCharges,-1006000000.0
CashDividendsPaid,-19800000000.0
CommonStockDividendPaid,-19800000000.0
NetCommonStockIssuance,-20379000000.0
CommonStockPayments,-22245000000.0
CommonStockIssuance,1866000000.0
NetIssuancePaymentsOfDebt,-2750000000.0
NetShortTermDebtIssuance,0.0
ShortTermDebtPayments,
ShortTermDebtIssuance,0.0
NetLongTermDebtIssuance,-2750000000.0
LongTermDebtPayments,-2750000000.0
LongTermDebtIssuance,0.0
InvestingCashFlow,-22680000000.0
CashFlowFromContinuingInvestingActivities,-22680000000.0
NetOtherInvestingChanges,-3116000000.0
NetInvestmentPurchaseAndSale,10213000000.0
SaleOfInvestment,47864000000.0
PurchaseOfInvestment,-37651000000.0
NetBusinessPurchaseAndSale,-1670000000.0
PurchaseOfBusiness,-1670000000.0
NetPPEPurchaseAndSale,-28107000000.0
PurchaseOfPPE,-28107000000.0
OperatingCashFlow,87582000000.0
CashFlowFromContinuingOperatingActivities,87582000000.0
ChangeInWorkingCapital,-2388000000.0
ChangeInOtherWorkingCapital,5535000000.0
ChangeInOtherCurrentLiabilities,2825000000.0
ChangeInOtherCurrentAssets,-4824000000.0
ChangeInPayablesAndAccruedExpense,-3079000000.0
ChangeInPayable,-3079000000.0
ChangeInAccountPayable,-2721000000.0
ChangeInTaxPayable,-358000000.0
ChangeInIncomeTaxPayable,-358000000.0
ChangeInInventory,1242000000.0
ChangeInReceivables,-4087000000.0
ChangesInAccountReceivables,-4087000000.0
StockBasedCompensation,9611000000.0
UnrealizedGainLossOnInvestmentSecurities,-303000000.0
AssetImpairmentCharge,30000000.0
DeferredTax,-6059000000.0
DeferredIncomeTax,-6059000000.0
DepreciationAmortizationDepletion,13861000000.0
DepreciationAndAmortization,13861000000.0
Depreciation,13861000000.0
OperatingGainsLosses,469000000.0
GainLossOnInvestmentSecurities,469000000.0
NetIncomeFromContinuingOperations,72361000000.0
