Unnamed: 0,2023-12-31
TreasurySharesNumber,712765000.0
OrdinarySharesNumber,2407078000.0
ShareIssued,3119843000.0
NetDebt,7473000000.0
TotalDebt,29332000000.0
TangibleBookValue,-1959000000.0
InvestedCapital,98106000000.0
WorkingCapital,7213000000.0
NetTangibleAssets,-1959000000.0
CommonStockEquity,68774000000.0
TotalCapitalization,94655000000.0
TotalEquityGrossMinorityInterest,68774000000.0
StockholdersEquity,68774000000.0
GainsLossesNotAffectingRetainedEarnings,-12527000000.0
OtherEquityAdjustments,-12527000000.0
TreasuryStock,75662000000.0
RetainedEarnings,153843000000.0
AdditionalPaidInCapital,153843000000.0
CapitalStock,3120000000.0
CommonStock,3120000000.0
PreferredStock,0.0
TotalLiabilitiesNetMinorityInterest,98784000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,52502000000.0
OtherNonCurrentLiabilities,13398000000.0
LiabilitiesHeldforSaleNonCurrent,0.0
EmployeeBenefits,7149000000.0
TradeandOtherPayablesNonCurrent,2881000000.0
NonCurrentDeferredLiabilities,3193000000.0
NonCurrentDeferredTaxesLiabilities,3193000000.0
LongTermDebtAndCapitalLeaseObligation,25881000000.0
LongTermDebt,25881000000.0
CurrentLiabilities,46282000000.0
OtherCurrentLiabilities,
CurrentDebtAndCapitalLeaseObligation,3451000000.0
CurrentDebt,3451000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,3993000000.0
PayablesAndAccruedExpenses,38838000000.0
CurrentAccruedExpenses,26213000000.0
Payables,12625000000.0
TotalTaxPayable,2993000000.0
IncomeTaxPayable,2993000000.0
AccountsPayable,9632000000.0
TotalAssets,167558000000.0
TotalNonCurrentAssets,114063000000.0
OtherNonCurrentAssets,14153000000.0
NonCurrentDeferredAssets,9279000000.0
NonCurrentDeferredTaxesAssets,9279000000.0
GoodwillAndOtherIntangibleAssets,70733000000.0
OtherIntangibleAssets,34175000000.0
Goodwill,36558000000.0
NetPPE,19898000000.0
AccumulatedDepreciation,-27878000000.0
GrossPPE,47776000000.0
ConstructionInProgress,5627000000.0
MachineryFurnitureEquipment,28979000000.0
BuildingsAndImprovements,12375000000.0
LandAndImprovements,795000000.0
Properties,0.0
CurrentAssets,53495000000.0
OtherCurrentAssets,
AssetsHeldForSaleCurrent,0.0
PrepaidAssets,
Inventory,11181000000.0
FinishedGoods,6874000000.0
WorkInProcess,1952000000.0
RawMaterials,2355000000.0
Receivables,19387000000.0
OtherReceivables,4514000000.0
AccountsReceivable,14873000000.0
AllowanceForDoubtfulAccountsReceivable,-166000000.0
GrossAccountsReceivable,15039000000.0
CashCashEquivalentsAndShortTermInvestments,22927000000.0
OtherShortTermInvestments,1068000000.0
CashAndCashEquivalents,21859000000.0
CashEquivalents,18519000000.0
CashFinancial,3340000000.0
FreeCashFlow,17778000000.0
RepurchaseOfCapitalStock,-5054000000.0
RepaymentOfDebt,-24524000000.0
IssuanceOfDebt,21790000000.0
IssuanceOfCapitalStock,4241000000.0
CapitalExpenditure,-5013000000.0
InterestPaidSupplementalData,1836000000.0
IncomeTaxPaidSupplementalData,8574000000.0
EndCashPosition,21859000000.0
BeginningCashPosition,14127000000.0
EffectOfExchangeRateChanges,-112000000.0
ChangesInCash,7844000000.0
FinancingCashFlow,-15825000000.0
CashFlowFromContinuingFinancingActivities,-15825000000.0
NetOtherFinancingCharges,-1602000000.0
ProceedsFromStockOptionExercised,1094000000.0
CashDividendsPaid,-11770000000.0
CommonStockDividendPaid,-11770000000.0
NetCommonStockIssuance,-813000000.0
CommonStockPayments,-5054000000.0
CommonStockIssuance,4241000000.0
NetIssuancePaymentsOfDebt,-2734000000.0
NetShortTermDebtIssuance,-1183000000.0
ShortTermDebtPayments,-22973000000.0
ShortTermDebtIssuance,21790000000.0
NetLongTermDebtIssuance,-1551000000.0
LongTermDebtPayments,-1551000000.0
LongTermDebtIssuance,0.0
InvestingCashFlow,878000000.0
CashFlowFromContinuingInvestingActivities,878000000.0
NetOtherInvestingChanges,-2593000000.0
NetInvestmentPurchaseAndSale,8484000000.0
SaleOfInvestment,19390000000.0
PurchaseOfInvestment,-10906000000.0
NetBusinessPurchaseAndSale,0.0
PurchaseOfBusiness,0.0
NetIntangiblesPurchaseAndSale,-470000000.0
PurchaseOfIntangibles,-470000000.0
NetPPEPurchaseAndSale,-4543000000.0
PurchaseOfPPE,-4543000000.0
OperatingCashFlow,22791000000.0
CashFlowFromContinuingOperatingActivities,22791000000.0
ChangeInWorkingCapital,2507000000.0
ChangeInOtherCurrentLiabilities,5588000000.0
ChangeInOtherCurrentAssets,-3480000000.0
ChangeInPayablesAndAccruedExpense,2346000000.0
ChangeInInventory,-1323000000.0
ChangeInReceivables,-624000000.0
ChangesInAccountReceivables,-624000000.0
OtherNonCashItems,483000000.0
StockBasedCompensation,1162000000.0
ProvisionandWriteOffofAssets,0.0
AssetImpairmentCharge,1295000000.0
DeferredTax,-4194000000.0
DeferredIncomeTax,-4194000000.0
DepreciationAmortizationDepletion,7486000000.0
DepreciationAndAmortization,7486000000.0
OperatingGainsLosses,-21101000000.0
GainLossOnSaleOfBusiness,-21101000000.0
NetIncomeFromContinuingOperations,35153000000.0
TaxEffectOfUnusualItems,-1037542955.782765
TaxRateForCalcs,0.115257
NormalizedEBITDA,32322000000.0
TotalUnusualItems,-9002000000.0
TotalUnusualItemsExcludingGoodwill,-9002000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,13326000000.0
ReconciledDepreciation,7486000000.0
ReconciledCostOfRevenue,26553000000.0
EBITDA,23320000000.0
EBIT,15834000000.0
NetInterestIncome,489000000.0
InterestExpense,772000000.0
InterestIncome,1261000000.0
NormalizedIncome,21290457044.217236
NetIncomeFromContinuingAndDiscontinuedOperation,35153000000.0
TotalExpenses,61750000000.0
DilutedAverageShares,2560400000.0
BasicAverageShares,2533500000.0
DilutedEPS,13.72
BasicEPS,13.88
DilutedNIAvailtoComStockholders,35153000000.0
NetIncomeCommonStockholders,35153000000.0
NetIncome,35153000000.0
NetIncomeIncludingNoncontrollingInterests,35153000000.0
NetIncomeDiscontinuousOperations,21827000000.0
NetIncomeContinuousOperations,13326000000.0
TaxProvision,1736000000.0
PretaxIncome,15062000000.0
OtherIncomeExpense,-8802000000.0
OtherNonOperatingIncomeExpenses,200000000.0
SpecialIncomeCharges,-8402000000.0
OtherSpecialCharges,7613000000.0
RestructuringAndMergernAcquisition,789000000.0
GainOnSaleOfSecurity,-600000000.0
NetNonOperatingInterestIncomeExpense,489000000.0
InterestExpenseNonOperating,772000000.0
InterestIncomeNonOperating,1261000000.0
OperatingIncome,23409000000.0
OperatingExpense,35197000000.0
ResearchAndDevelopment,15085000000.0
SellingGeneralAndAdministration,20112000000.0
GeneralAndAdministrativeExpense,20112000000.0
OtherGandA,21512000000.0
SalariesAndWages,-1400000000.0
GrossProfit,58606000000.0
CostOfRevenue,26553000000.0
TotalRevenue,85159000000.0
OperatingRevenue,85159000000.0
